ResponseName,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseDay,ReleaseDecade,ReleaseQuarter,Genre,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsRPG,GenreIsFreeToPlay,GenreIsSimulation,GenreIsEarlyAccess,GenreIsMassivelyMultiplayer,GenreIsNonGame,GenreIsStrategy,GenreIsSports,GenreIsRacing,PriceInitial,PriceFinal,DiscountPct,PriceCurrency,PriceCategory,IsFree,FreeOrPaid,Metacritic,MetacriticCategory,ReviewCategory,RequiredAge,AgeRating,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,PopularityCategory,RecommendationCount,PlatformWindows,PlatformLinux,PlatformMac,PlatformCategory,PCReqsHaveMin,PCReqsHaveRec,LinuxReqsHaveMin,LinuxReqsHaveRec,MacReqsHaveMin,MacReqsHaveRec,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,CategoryIncludeSrcSDK,DLCCount,DemoCount,MovieCount,ScreenshotCount,AchievementCount,AchievementHighlightedCount,PublisherCount,DeveloperCount,PackageCount,ControllerSupport,FreeVerAvail,PurchaseAvail,SubscriptionAvail,LanguageCount
Eternal Return,,2015,,,2010s,,Indie,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,1,Two Platforms,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,11,0,0,1,1,0,0,0,0,0,1
Night Forest,,2015,,,2010s,,Indie,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,717,701,540,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,1
Lost In Woods 2,2016-09-26,2016,September,Monday,2010s,Q3.0,Indie,1,1,1,0,0,0,1,0,0,0,1,0,0,3.99,2.39,0.401,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,10044,2623,6815,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,31,10,1,1,1,0,0,1,0,1
Tracks of Triumph: Summertime,2016-09-19,2016,September,Monday,2010s,Q3.0,Indie,1,1,0,1,0,0,0,0,0,0,0,0,0,3.99,3.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,19190,3625,12375,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,1,1,1,0,0,1,0,1
NEON Ultra,2016-09-30,2016,September,Friday,2010s,Q3.0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,533,1044,533,Small,0,1,0,1,Two Platforms,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,8,0,0,1,1,0,1,0,0,0,1
Turbo Pug 3D,2016-09-20,2016,September,Tuesday,2010s,Q3.0,Indie,1,0,0,1,0,0,0,0,0,0,0,0,0,1.99,1.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,10223,2646,3766,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,8,8,1,2,1,0,0,1,0,1
Spin Rush,2016-09-16,2016,September,Friday,2010s,Q3.0,Indie,1,1,0,1,0,0,0,0,0,0,0,0,0,0.99,0.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,14169,3115,5022,Small,0,1,1,1,All Platforms,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,15,10,1,1,1,0,0,1,0,1
Francois BOUILLE,2016-09-20,2016,September,Tuesday,2010s,Q3.0,NonGame,0,0,0,0,0,0,0,0,0,1,0,0,0,4.99,4.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1,1,0,0,1,0,1
Proxy - Ultimate Hacker,,2015,,,2010s,,Casual,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1,1,0,0,0,0,0,1
Golf Pro VR,2016-09-19,2016,September,Monday,2010s,Q3.0,EarlyAccess,0,0,0,0,0,0,0,1,0,0,0,1,0,19.99,19.99,0.0,USD,Mid range,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,1,0,0,1,0,1
